Ищет работу на должность:,Последнее/нынешнее место работы,Последняя/нынешняя должность,Обновление резюме,Авто,Образование,Пол,Возраст,Опыт работы (месяц),Город,Готовность к переезду,Готовность к командировкам,Занятость_полная занятость,Занятость_частичная занятость,Занятость_проектная работа,Занятость_волонтерство,Занятость_стажировка,График_полный день,График_сменный график,График_гибкий график,График_удалённая работа,График_вахтовый метод,salary_value,salary_cur_name,salary_currency,date_x,date_y,exchange_rate,ЗП (руб)
Системный администратор,"МАОУ ""СОШ № 1 г.Немана""",Системный администратор,2019-04-16,Имеется собственный автомобиль,неоконченное высшее,М,39,202.0,другие,False,False,True,True,True,False,False,True,True,True,False,True,29000.0,руб.,RUB,2019-04-16,,1.0,29000.0
Технический писатель,Временный трудовой коллектив,"Менеджер проекта, Аналитик, Технический писатель",2019-04-12,Не указано,высшее,М,60,233.0,другие,False,True,True,True,True,False,False,True,True,True,False,False,40000.0,руб.,RUB,2019-04-12,,1.0,40000.0
Оператор,ПАО Сбербанк,Кассир-операционист,2019-04-16,Не указано,среднее специальное,Ж,36,123.0,другие,False,False,True,False,False,False,False,True,False,False,False,False,20000.0,руб.,RUB,2019-04-16,,1.0,20000.0
"Веб-разработчик (HTML / CSS / JS / PHP / базы данных; фреймворки, дизайн, интерфейсы, CMS)",OpenSoft,Инженер-программист,2019-04-08,Не указано,высшее,М,38,225.0,другие,False,True,True,True,True,False,False,False,False,True,False,False,100000.0,руб.,RUB,2019-04-08,,1.0,100000.0
Региональный менеджер по продажам,Мармелад,Менеджер по продажам,2019-04-22,Не указано,высшее,Ж,26,67.0,Москва,False,True,True,False,False,False,False,True,False,False,False,False,140000.0,руб.,RUB,2019-04-22,,1.0,140000.0
Технический специалист,Комбинат хлебопродуктов Старооскольский,Слесарь КИПиА,2019-04-22,Имеется собственный автомобиль,неоконченное высшее,М,29,117.0,другие,False,False,True,False,False,False,False,True,True,False,False,False,25000.0,руб.,RUB,2019-04-22,,1.0,25000.0
Руководитель ИТ-проектов,"СИБИНТЕК, ООО ИК",Менеджер (Руководитель ИТ-проектов),2019-04-25,Не указано,высшее,М,46,273.0,Москва,False,True,True,False,False,False,False,True,False,False,False,False,250000.0,руб.,RUB,2019-04-25,,1.0,250000.0
Инженер АСУ ТП,ФМ-инжиниринг,Инженер АСУ ТП,2019-05-07,Не указано,высшее,М,29,47.0,Москва,True,True,True,False,False,False,False,True,False,False,False,False,70000.0,руб.,RUB,2019-05-07,,1.0,70000.0
Ревизор,ФГБУ РСВО,Старший специалист,2019-04-11,Имеется собственный автомобиль,неоконченное высшее,М,29,105.0,Москва,True,True,True,False,False,False,False,True,False,False,False,False,65000.0,руб.,RUB,2019-04-11,,1.0,65000.0
"Менеджер по работе с клиентами, Pre-sale менеджер, Менеджер по сопровождению клиентов","ООО ""Мираском""",Специалист отдела ИТ,2019-04-19,Имеется собственный автомобиль,высшее,М,34,198.0,Москва,False,False,True,False,False,False,False,True,False,False,False,False,55000.0,руб.,RUB,2019-04-19,,1.0,55000.0
Менеджер / оператор интернет-магазина,Сеть свадебных салон Primavera,Администратор интернет-магазина и салона,2019-04-11,Не указано,среднее специальное,Ж,35,137.0,Москва,False,True,True,False,False,False,False,True,False,False,False,False,55000.0,руб.,RUB,2019-04-11,,1.0,55000.0
Технический писатель,"ООО ""В-класс""",Ведущий специалист научно-технического отдела,2019-04-26,Не указано,высшее,М,59,510.0,Москва,False,True,True,False,False,False,False,True,False,False,False,False,80000.0,руб.,RUB,2019-04-26,,1.0,80000.0
Инженер-программист,Эльдорадо (Россия),Продавец-консультант,2019-04-26,Не указано,среднее специальное,М,39,162.0,другие,False,True,True,True,False,False,False,True,True,False,False,False,40000.0,руб.,RUB,2019-04-26,,1.0,40000.0
SMM-менеджер/ SEO/ creator,ГРУППА ИМА,SMM-менеджер/ SEO,2019-04-16,Не указано,высшее,Ж,27,83.0,Москва,False,True,True,False,False,False,False,False,False,False,False,False,90000.0,руб.,RUB,2019-04-16,,1.0,90000.0
Менеджер проекта,Ays отель,Старший официант,2019-04-18,Не указано,среднее специальное,Ж,21,17.0,другие,False,False,True,False,False,False,False,True,False,False,False,False,25000.0,руб.,RUB,2019-04-18,,1.0,25000.0
Специалист,Динамика 76,Контент-менеджер,2019-04-26,Не указано,высшее,М,31,46.0,другие,False,False,True,True,True,False,False,True,True,True,False,False,23000.0,руб.,RUB,2019-04-26,,1.0,23000.0
"Дизайнер продукта, UX/UI",Zenon,"Дизайнер продукта, UX/UI дизайнер",2019-04-12,Не указано,высшее,М,29,109.0,Москва,True,True,True,False,False,False,False,True,False,False,False,False,120000.0,руб.,RUB,2019-04-12,,1.0,120000.0
Инженер Отдела IT,Великолукский мясокомбинат,Дежурный IT-инженер,2019-04-11,Не указано,неоконченное высшее,М,37,189.0,другие,True,True,False,True,False,False,False,True,False,False,False,False,30000.0,руб.,RUB,2019-04-11,,1.0,30000.0
Ведущий программист 1C / Руководитель,Сантехника-онлайн.Ру,Ведущий программист 1C,2019-04-26,Имеется собственный автомобиль,высшее,М,30,114.0,Москва,True,False,True,True,False,False,False,True,False,False,False,False,260000.0,руб.,RUB,2019-04-26,,1.0,260000.0
Менеджер интернет-магазина,"Интернет-магазин ""Доктор Кастом Ру"" (ИП Смолин В.С.)",Руководитель отдела веб-продаж и сервиса,2019-05-07,Не указано,неоконченное высшее,М,38,143.0,город-миллионник,True,True,True,False,False,False,False,True,False,False,False,False,55000.0,руб.,RUB,2019-05-07,,1.0,55000.0
Сетевой инженер / Системный администратор,АйТи-Сервис,Системный администратор,2019-04-18,Имеется собственный автомобиль,высшее,М,31,59.0,Москва,False,True,True,True,True,False,False,True,True,True,False,False,80000.0,руб.,RUB,2019-04-18,,1.0,80000.0
"Программист C++, Web-программист, разработчик аппаратуры,",Удаленная работа,Web-программист,2019-04-17,Имеется собственный автомобиль,высшее,М,27,68.0,другие,True,True,True,True,False,False,False,True,True,True,False,False,70000.0,руб.,RUB,2019-04-17,,1.0,70000.0
Технический специалист,"АО ""Нокиа Солюшнз энд Нетворкс"" (АО ""НСН"")",Старший инженер по эксплуатации мобильной сети,2019-04-10,Не указано,высшее,М,36,160.0,другие,True,True,True,False,False,False,False,True,True,True,False,False,70000.0,руб.,RUB,2019-04-10,,1.0,70000.0
Golang разработчик,Eastwood,Программист Python,2019-04-25,Не указано,высшее,М,33,138.0,другие,False,False,True,False,False,False,False,True,False,True,False,False,60000.0,руб.,RUB,2019-04-25,,1.0,60000.0
"начальник отдела, главный специалист, аудитор, аналитик",Банк,главный экономист - аналитик Отдела методологии и риск-технологий крупного и среднего бизнеса Управления корпоративных кредитных рисков Департамент рисков,2019-05-07,Не указано,высшее,М,34,147.0,город-миллионник,False,False,True,False,False,False,False,True,False,False,False,False,61000.0,руб.,RUB,2019-05-07,,1.0,61000.0
"секретарь,администратор,помощник руководителя.","Ангам,Универмаг Зум.",Продавец-консультант,2019-04-14,Не указано,высшее,Ж,27,111.0,другие,False,True,True,False,False,False,False,True,False,False,False,False,20000.0,руб.,RUB,2019-04-14,,1.0,20000.0
"pre-sale инженер, pre-sale менеджер","Унилинк, ООО",Руководитель группы по работе с операторами и крупными клиентами,2019-05-13,Не указано,высшее,Ж,42,237.0,Москва,True,True,True,True,True,False,False,True,False,True,False,False,80000.0,руб.,RUB,2019-05-13,,1.0,80000.0
"Руководитель ИТ-отдела, руководитель отдела системного администрирования","Sovcomflot, PAO",Senior specialist,2019-05-07,Не указано,высшее,М,36,178.0,Москва,False,True,True,False,False,False,False,True,False,False,False,False,250000.0,руб.,RUB,2019-05-07,,1.0,250000.0
Гейм-дизайнер,Глобэкс АйТи,Специалист технической поддержки,2019-04-22,Не указано,неоконченное высшее,Ж,32,105.0,другие,False,True,True,True,True,False,True,True,False,True,False,False,45000.0,руб.,RUB,2019-04-22,,1.0,45000.0
Системный администратор,"ООО ""Дилижанс""",Системный администратор,2019-04-22,Не указано,высшее,М,32,112.0,Санкт-Петербург,False,True,True,False,False,False,False,True,False,False,False,False,50000.0,руб.,RUB,2019-04-22,,1.0,50000.0
Engineer,Outsourcing,Data Engineer,2019-04-26,Не указано,высшее,Ж,31,98.0,другие,True,True,True,False,False,False,False,True,False,False,False,False,3000.0,бел.руб.,,2019-04-26,,,
Системный аналитик,Ингосстрах,Системный аналитик,2019-05-14,Не указано,высшее,Ж,33,59.0,Москва,False,False,True,False,False,False,False,True,False,True,False,False,170000.0,руб.,RUB,2019-05-14,,1.0,170000.0
Технический директор / Руководитель отдела разработки ПО,IT Payment Solution LLC,Технический директор,2019-04-22,Не указано,высшее,М,34,101.0,Санкт-Петербург,False,True,True,False,False,False,False,True,False,False,False,False,180000.0,руб.,RUB,2019-04-22,,1.0,180000.0
Системный администратор,МАОУ СОШ №3,лаборант ИВТ,2019-04-22,Не указано,неоконченное высшее,Ж,23,46.0,другие,False,False,True,True,True,False,False,True,True,True,False,False,35000.0,руб.,RUB,2019-04-22,,1.0,35000.0
Инженер технической поддержки,Carnival UK,Receptionist,2019-04-22,Не указано,высшее,М,28,64.0,Санкт-Петербург,False,False,True,False,False,False,False,True,False,False,False,False,70000.0,руб.,RUB,2019-04-22,,1.0,70000.0
